Index (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
1,0,0,0,17.647058,0,80,-4.6875,0,101,50.196079,49.803921,16.078432,31.764706,17.254902,0,102,0,48,5,498.299988,361.5,12.5,0,0,8420,0,255
2,0,0,0,17.647058,0,80,-4.6875,0,101,50.196079,49.803921,16.078432,31.764706,17.254902,0,102,0,48,5,498.299988,361.5,12.5,0,0,8420,0,255
3,0,0,0,17.647058,0,80,-4.6875,0,101,50.196079,49.803921,16.078432,31.764706,17.254902,0,102,0,48,5,498.299988,361.5,12.5,0,0,8420,0,255
4,0,0,0,17.647058,0,80,-4.6875,0,101,50.196079,49.803921,16.078432,31.764706,17.254902,0,102,0,48,5,498.299988,361.5,12.5,0,0,8420,0,255
5,0,253.75,0,17.254902,0,80,-4.6875,0,89,50.196079,49.803921,16.078432,31.764706,17.254902,0,102,0,48,5,498.299988,361.5,12.5,0,0,8420,0,255
6,0,253.75,0,17.254902,0,80,-4.6875,0,89,50.196079,49.803921,16.078432,31.764706,17.254902,0,100,0,48,5,498.299988,361.5,12.5,0,0,8420,0,255
7,0,253.75,0,17.254902,0,80,-4.6875,0,89,50.196079,49.019608,16.078432,31.764706,17.254902,0,100,0,48,5,498.299988,361.5,12.128,0,0,8420,0,255
8,0,1052.25,0,17.254902,21.17647,80,1.5625,0,21,50.196079,49.019608,16.078432,31.764706,17.254902,0,100,0,48,5,498.299988,361.5,12.128,0,0,8420,0,255
9,1,1052.25,0,17.254902,21.17647,80,1.5625,0,21,50.196079,49.019608,16.078432,31.764706,17.254902,0,100,0,49,0,498.299988,361.5,12.128,0,0,8420,0,255
10,1,1052.25,0,17.254902,21.17647,80,1.5625,0,21,50.196079,49.411766,16.078432,31.764706,17.254902,0,100,0,49,0,65,64.599998,12.089,0,0,8420,0,255
11,1,1052.25,0,17.254902,21.17647,80,1.5625,0,21,50.196079,49.411766,16.078432,31.764706,17.647058,0,100,0,49,0,65,64.599998,12.089,0,0,8420,0,255
12,1,1082,0,17.647058,23.529411,80,1.5625,0,24,50.196079,49.411766,16.078432,31.764706,17.647058,0,100,0,50,7,65,64.599998,12.089,0,0,8420,0,255
13,3,1082,0,17.647058,23.529411,80,1.5625,0,24,50.196079,49.411766,16.078432,31.764706,17.647058,0,100,0,50,7,65,64.599998,12.089,0,0,8420,0,255
14,3,1082,0,17.647058,23.529411,80,1.5625,0,24,50.196079,49.019608,16.078432,31.764706,18.431372,0,100,0,50,7,66.699997,64.599998,13.457,0,0,8420,0,255
15,3,1082,0,17.647058,23.529411,80,1.5625,0,24,50.196079,49.019608,16.078432,31.764706,18.431372,0,100,0,50,7,66.699997,64.599998,13.457,0,0,8420,0,255
16,5,565.5,0,16.862745,32.156864,79,0,0,34,50.196079,49.019608,16.078432,31.764706,18.431372,0,100,0,51,7,66.699997,64.599998,13.457,0,0,8420,0,255
